iter	MultiClass
0	1.079504781
1	1.062895362
2	1.04665645
3	1.031670813
4	1.017896788
5	1.005204805
6	0.994342701
7	0.9830419663
8	0.973718817
9	0.9648995844
10	0.956649402
11	0.9487882745
12	0.9413371883
13	0.934717455
14	0.9276788857
15	0.9209934138
16	0.9147189132
17	0.9084239476
18	0.9027976035
19	0.8968835915
20	0.8920073235
21	0.8871755849
22	0.8831006735
23	0.8787085144
24	0.8745728238
25	0.8707293745
26	0.8671607389
27	0.8634362544
28	0.8601656514
29	0.8565939359
30	0.8532473059
31	0.849698187
32	0.8460992677
33	0.8435157836
34	0.8399154087
35	0.8376414295
36	0.8345933357
37	0.8316067423
38	0.8290822443
39	0.8273441694
40	0.8244670549
41	0.8223040655
42	0.819543153
43	0.8172254057
44	0.8154786141
45	0.8130686743
46	0.811842113
47	0.8099091956
48	0.807603615
49	0.8055638221
50	0.8035494814
51	0.8018249667
52	0.8002517237
53	0.7985583812
54	0.7971833609
55	0.7946855499
56	0.7927795677
57	0.7912656838
58	0.7880079997
59	0.7859392228
60	0.7845566259
61	0.7823545867
62	0.7813713752
63	0.7796108053
64	0.7780415023
65	0.7769447603
66	0.7748567304
67	0.7740162538
68	0.7725925389
69	0.7706407075
70	0.7687336246
71	0.767308679
72	0.7646590355
73	0.7639128949
74	0.7627130119
75	0.7608976533
76	0.7587710979
77	0.7573033536
78	0.7566973115
79	0.75503421
80	0.7537773179
81	0.7511001708
82	0.749744064
83	0.748725253
84	0.7472768857
85	0.7458951555
86	0.7450024412
87	0.7433182073
88	0.7416535525
89	0.7397305057
90	0.7377814329
91	0.7359626679
92	0.7340609406
93	0.7330139641
94	0.7316243057
95	0.7299896607
96	0.7293339969
97	0.727531974
98	0.7262971836
99	0.7248954933
100	0.7234977045
101	0.7212763943
102	0.71965298
103	0.7187519172
104	0.7168933064
105	0.7156428079
106	0.7143113436
107	0.7124605886
108	0.711093862
109	0.7087711967
110	0.707699639
111	0.7059186381
112	0.7047752323
113	0.7034949117
114	0.7022991631
115	0.7007463209
116	0.6997077265
117	0.6985363422
118	0.6972678607
119	0.6961509202
120	0.6947717749
121	0.6925680842
122	0.6917545858
123	0.6901906578
124	0.6893791077
125	0.6876157355
126	0.6857217783
127	0.6837898808
128	0.6827551162
129	0.682034573
130	0.6797937894
131	0.6791276522
132	0.6772764644
133	0.6758474178
134	0.6744880894
135	0.6734891079
136	0.6723781995
137	0.6715037807
138	0.6703413632
139	0.6687126691
140	0.667733381
141	0.6672711628
142	0.6657654924
143	0.664324892
144	0.6626183667
145	0.6616146308
146	0.6607961937
147	0.6596166209
148	0.6581114129
149	0.6571015025
150	0.6553373879
151	0.6538040298
152	0.6529295155
153	0.6515276405
154	0.6507881585
155	0.6493974576
156	0.6478615739
157	0.6463064069
158	0.6449292113
159	0.6439576713
160	0.6426902405
161	0.6414624997
162	0.6405714395
163	0.6387390579
164	0.6372033807
165	0.6355160026
166	0.6337766444
167	0.632150197
168	0.6306348546
169	0.6287556023
170	0.6276120767
171	0.6258449027
172	0.6242814536
173	0.6226922732
174	0.6216812515
175	0.6199230627
176	0.6179508458
177	0.6166168831
178	0.6147576821
179	0.6129059164
180	0.6107677635
181	0.6092020382
182	0.6074169562
183	0.6065992855
184	0.6052383338
185	0.6035626487
186	0.6030606876
187	0.6021640211
188	0.6000192774
189	0.5988945032
190	0.5979328836
191	0.5970274205
192	0.5956994731
193	0.5938541853
194	0.5925845109
195	0.5916955402
196	0.5902294865
197	0.5888393118
198	0.5874140231
199	0.5864680578
200	0.585307673
201	0.5840137831
202	0.582866529
203	0.5812714744
204	0.579950471
205	0.5787533743
206	0.5775441288
207	0.5765227808
208	0.5749875233
209	0.5738775515
210	0.571723558
211	0.57070892
212	0.5686200827
213	0.5674529508
214	0.5660769517
215	0.5652553807
216	0.5641041678
217	0.5627389116
218	0.5613876766
219	0.5602660798
220	0.5593763354
221	0.558679482
222	0.5571748624
223	0.5561149688
224	0.5546185378
225	0.5537678132
226	0.5528152905
227	0.5519360518
228	0.5504718132
229	0.5495051503
230	0.5480437482
231	0.5474976154
232	0.5468329888
233	0.5455850466
234	0.5443610305
235	0.5423677286
236	0.5411914091
237	0.5398316487
238	0.5386523493
239	0.5373073314
240	0.5359715591
241	0.5352703238
242	0.534017096
243	0.5331502851
244	0.5320469307
245	0.5308745734
246	0.5301495741
247	0.5294497403
248	0.5280286645
249	0.5266443956
250	0.5261815814
251	0.524818818
252	0.5236987767
253	0.5226136869
254	0.5216735225
255	0.5205685431
256	0.5200012234
257	0.5183909962
258	0.5169221976
259	0.5160911446
260	0.5141198517
261	0.512954624
262	0.5121168009
263	0.5101395879
264	0.5091502556
265	0.5080770873
266	0.5071794879
267	0.5062127564
268	0.5048657188
269	0.5041177223
270	0.5031267152
271	0.5020503639
272	0.5010943631
273	0.4997933985
274	0.4985017882
275	0.4978526879
276	0.4967690026
277	0.4952395485
278	0.4941450978
279	0.4934319867
280	0.492762902
281	0.4917887914
282	0.4907667599
283	0.4898824904
284	0.4888849808
285	0.4877560252
286	0.4868574695
287	0.4855231304
288	0.484385363
289	0.4835623659
290	0.4825500219
291	0.4813879014
292	0.4805787802
293	0.4793383119
294	0.4781512245
295	0.4770022221
296	0.4763197147
297	0.4754522431
298	0.4750424162
299	0.4741524077
