iter	Passed	Remaining
0	210	63070
1	234	34950
2	259	25676
3	285	21108
4	314	18567
5	410	20121
6	503	21064
7	542	19814
8	572	18510
9	595	17260
10	622	16360
11	651	15630
12	674	14888
13	697	14249
14	720	13696
15	744	13212
16	767	12783
17	788	12358
18	812	12012
19	837	11718
20	860	11426
21	884	11172
22	908	10942
23	932	10722
24	954	10502
25	978	10310
26	1000	10114
27	1023	9940
28	1054	9858
29	1084	9759
30	1115	9678
31	1144	9584
32	1166	9438
33	1190	9310
34	1222	9257
35	1246	9140
36	1269	9023
37	1310	9034
38	1352	9052
39	1387	9019
40	1420	8975
41	1463	8990
42	1497	8952
43	1543	8981
44	1577	8941
45	1623	8962
46	1659	8934
47	1705	8953
48	1740	8916
49	1772	8864
50	1805	8816
51	1841	8780
52	1875	8741
53	1902	8667
54	1929	8594
55	1950	8500
56	1975	8421
57	1996	8330
58	2019	8249
59	2043	8175
60	2065	8091
61	2089	8019
62	2113	7951
63	2136	7880
64	2163	7820
65	2190	7766
66	2212	7693
67	2235	7626
68	2262	7574
69	2285	7508
70	2317	7473
71	2344	7423
72	2367	7360
73	2391	7303
74	2414	7243
75	2439	7191
76	2465	7139
77	2489	7084
78	2513	7032
79	2539	6983
80	2560	6923
81	2583	6867
82	2605	6811
83	2628	6758
84	2653	6712
85	2676	6661
86	2703	6618
87	2726	6567
88	2748	6517
89	2770	6465
90	2794	6417
91	2822	6381
92	2850	6345
93	2875	6301
94	2904	6266
95	2930	6227
96	2955	6184
97	2983	6148
98	3006	6104
99	3046	6093
100	3103	6114
101	3136	6088
102	3166	6055
103	3209	6048
104	3235	6009
105	3262	5970
106	3285	5925
107	3310	5885
108	3334	5842
109	3357	5798
110	3381	5758
111	3405	5715
112	3432	5679
113	3460	5645
114	3481	5600
115	3504	5558
116	3529	5520
117	3554	5481
118	3580	5446
119	3608	5412
120	3631	5371
121	3654	5332
122	3680	5296
123	3716	5275
124	3746	5245
125	3768	5204
126	3791	5165
127	3814	5125
128	3837	5086
129	3859	5047
130	3884	5011
131	3906	4972
132	3927	4932
133	3950	4893
134	3972	4855
135	3994	4816
136	4016	4778
137	4037	4740
138	4059	4701
139	4082	4665
140	4104	4628
141	4126	4591
142	4153	4560
143	4175	4523
144	4197	4487
145	4219	4451
146	4241	4415
147	4264	4379
148	4294	4352
149	4324	4324
150	4351	4293
151	4374	4259
152	4399	4227
153	4426	4196
154	4451	4164
155	4474	4130
156	4499	4098
157	4524	4066
158	4553	4037
159	4580	4008
160	4605	3976
161	4634	3947
162	4664	3920
163	4710	3906
164	4738	3876
165	4770	3850
166	4797	3820
167	4821	3787
168	4851	3760
169	4878	3730
170	4901	3697
171	4929	3668
172	4955	3637
173	4978	3604
174	5001	3572
175	5030	3543
176	5055	3512
177	5080	3482
178	5107	3452
179	5129	3419
180	5152	3387
181	5175	3355
182	5199	3324
183	5222	3292
184	5245	3260
185	5270	3230
186	5294	3199
187	5317	3167
188	5340	3136
189	5364	3105
190	5389	3075
191	5412	3044
192	5441	3016
193	5463	2985
194	5489	2955
195	5512	2924
196	5536	2894
197	5558	2863
198	5584	2834
199	5606	2803
200	5629	2772
201	5652	2742
202	5676	2712
203	5700	2682
204	5722	2651
205	5746	2622
206	5770	2592
207	5793	2562
208	5817	2533
209	5840	2502
210	5866	2474
211	5890	2445
212	5915	2416
213	5939	2386
214	5964	2358
215	5985	2327
216	6008	2298
217	6033	2269
218	6058	2240
219	6083	2212
220	6109	2183
221	6134	2155
222	6170	2130
223	6214	2108
224	6241	2080
225	6270	2053
226	6312	2030
227	6344	2003
228	6376	1977
229	6416	1952
230	6460	1929
231	6507	1907
232	6550	1883
233	6583	1856
234	6613	1829
235	6642	1801
236	6667	1772
237	6695	1744
238	6722	1715
239	6746	1686
240	6772	1658
241	6797	1629
242	6820	1599
243	6843	1570
244	6868	1541
245	6889	1512
246	6912	1483
247	6936	1454
248	6960	1425
249	6983	1396
250	7005	1367
251	7029	1338
252	7051	1309
253	7075	1281
254	7099	1252
255	7123	1224
256	7148	1196
257	7172	1167
258	7197	1139
259	7218	1110
260	7243	1082
261	7268	1054
262	7290	1025
263	7314	997
264	7343	969
265	7379	943
266	7405	915
267	7435	887
268	7461	859
269	7482	831
270	7510	803
271	7532	775
272	7555	747
273	7578	719
274	7609	691
275	7643	664
276	7676	637
277	7700	609
278	7728	581
279	7758	554
280	7779	526
281	7804	498
282	7827	470
283	7849	442
284	7873	414
285	7897	386
286	7923	358
287	8041	335
288	8084	307
289	8107	279
290	8129	251
291	8157	223
292	8179	195
293	8203	167
294	8225	139
295	8252	111
296	8274	83
297	8299	55
298	8326	27
299	8356	0
